@relation BaseHistorica-weka.filters.unsupervised.attribute.Remove-R1

@attribute WMC numeric
@attribute LCOM numeric
@attribute NBD numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute NORM numeric
@attribute SIX numeric
@attribute MLOC numeric
@attribute NAC numeric
@attribute NSF numeric
@attribute NSM numeric
@attribute PAR numeric
@attribute NOI numeric
@attribute NOP numeric
@attribute I numeric
@attribute A numeric
@attribute Dn numeric
@attribute debug numeric
@attribute breakpoint numeric
@attribute refactoring numeric
@attribute CodErro numeric
@attribute qtdeErros numeric
@attribute classe {basic,intermediate,proficient}

@data
1,0,2,1,0,0,0,37,4,0,0.5,1,0,1,1,0,0,0,0,0,0,0,basic
1,0,2,1,0,0,0,37,4,0,0.5,1,0,1,1,0,0,0,0,1,0,0,basic
1,0,2,1,0,0,0,36,4,0,0.5,1,0,1,1,0,0,0,0,0,0,0,basic
6.5,0.46,1.083,1,0,0,0,4.5,5,0,0.5,0.75,0,1,1,0,0,0,0,1,2,1,basic
6.5,0.46,1.083,1,0,0,0,4.5,5,0,0.5,0.75,0,1,1,0,0,0,0,0,0,0,basic
4.333,0.307,1.083,1,0,0,0,4.5,3.333,0,0.333,0.75,0,1,1,0,0,0,0,1,0,0,basic
4.333,0.307,1.083,1,0,0,0,4.5,3.333,0,0.333,0.75,0,1,1,0,0,0,0,0,0,0,basic
4.667,0.307,1.077,1,0,0,0,4.692,3.333,0,0.333,0.692,0,1,1,0,0,0,0,0,0,0,basic
4.667,0.3,1.077,1,0,0,0,4.923,3.333,0,0.333,0.846,0,1,1,0,0,0,0,0,0,0,basic
4.667,0.3,1.077,1,0,0,0,5,3.333,0,0.333,0.846,0,1,1,0,0,0,0,0,0,0,basic
3.5,0.225,1.077,1,0,0,0,5,2.5,0,0.25,0.846,0,1,1,0,0,0,0,0,0,0,basic
3.5,0.225,1.077,1,0,0,0,5.077,2.5,0,0.25,0.846,0,1,1,0,0,0,0,0,0,0,basic
3.5,0.225,1.077,1,0,0,0,5.231,2.5,0,0.25,0.846,0,1,1,0,0,0,0,1,0,0,basic
3.5,0.225,1.077,1,0,0,0,5.231,2.5,0,0.25,0.846,0,1,1,0,0,0,0,0,0,0,basic
3.5,0.225,1.077,1,0,0,0,5.231,2.75,0,0.25,0.846,0,1,1,0,0,0,0,0,0,0,basic
3.5,0.225,1.077,1,0,0,0,5.231,2.75,0,0.25,0.846,0,1,1,0,0,0,0,1,0,0,basic
3.75,0.225,1.071,1,0,0,0,4.786,2.75,0,0.25,0.857,0,1,1,0,0,0,0,0,0,0,basic
4.75,0.225,1.071,1,0,0,0,5.5,2.75,0,0.25,0.857,0,1,1,0,0,0,0,0,0,0,basic
4.5,0.225,1.077,1,0,0,0,5.923,2.75,0,0.25,0.923,0,1,1,0,0,0,0,0,0,0,basic
4.75,0.225,1.071,1,0,0,0,5.714,2.5,0,0.25,0.929,0,1,1,0,0,0,0,0,0,0,basic
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,basic
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,basic
14,0.923,1,1,0,0,0,1,7,0,0,0.5,0,1,1,0,0,0,0,1,0,0,basic
14,0.923,1,1,0,0,0,1,7,0,0,0.5,0,1,1,0,0,0,0,0,0,0,basic
7,0.462,1,1,0,0,0,1,3.5,0,0,0.5,0,1,1,0,0,0,0,0,0,0,basic
9,0.795,1,1.5,0,0,0,1,4.5,0,0,0.5,0,1,1,0,0,0,0,0,0,0,basic
6,0.53,1,1.333,0,0,0,1,3,0,0,0.5,0,1,1,0,0,0,0,0,0,0,basic
6,0.53,1,1.667,0,0,0,1,3,0,0,0.5,0,1,1,0,0,0,0,0,0,0,basic
8,0.797,1,1.667,0,0,0,1,4,0,0,0.5,0,1,1,0,0,0,0,0,0,0,basic
8.333,0.797,1,1.667,0.667,0,0,0.96,4,0,0,0.48,0,1,1,0,0,0,0,0,0,0,basic
8.667,0.797,1,1.667,0.667,0,0,0.923,4,0,0,0.462,0,1,1,0,0,0,0,0,0,0,basic
9,0.797,1,1.667,0.667,0,0,0.889,4,0,0,0.444,0,1,1,0,0,0,0,0,0,0,basic
7,0.597,1,1.5,0.5,0,0,0.857,3,0,0.25,0.464,0,1,1,0,0,0,0,0,0,0,basic
7.25,0.594,1,1.5,0.5,0,0,0.897,3,0,0.25,0.517,0,1,1,0,0,0,0,1,0,0,basic
7.5,0.594,1,1.5,0.5,0,0,0.9,3,0,0.25,0.533,0,1,1,0,0,0,0,1,0,0,basic
7.5,0.594,1,1.5,0.5,0,0,0.9,3,0,0.25,0.533,0,1,1,0,0,0,0,0,0,0,basic
7.75,0.594,1,1.5,0.5,0,0,0.903,3,0,0.25,0.548,0,1,1,0,0,0,0,0,0,0,basic
9.75,0.594,1.065,1.5,0.5,0,0,1.645,3,0,0.25,0.548,0,1,1,0,0,0,0,0,4,2,basic
9.75,0.594,1.065,1.5,0.5,0,0,1.645,3,0,0.25,0.548,0,1,1,0,0,0,0,0,1,1,basic
9.75,0.594,1.065,1.5,0.5,0,0,1.71,3,0,0.25,0.548,0,1,1,0,0,0,0,0,0,0,basic
9.75,0.594,1.065,1.5,0.5,0,0,1.839,3,0,0.25,0.548,0,1,1,0,0,0,0,0,0,0,basic
11.75,0.594,1.065,1.5,0.5,0,0,2.129,3,0,0.25,0.548,0,1,1,0,0,0,0,0,0,0,basic
11.75,0.594,1.065,1.5,0.5,0,0,2.129,3,0,0.25,0.548,0,1,1,0,0,0,0,0,7,4,basic
11.75,0.594,1.065,1.5,0.5,0,0,2.129,3,0,0.25,0.548,0,1,1,0,0,0,0,0,5,2,basic
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,basic
1,0,1,1,0,0,0,5,8,0,0,0,0,1,1,0,0,0,0,0,1,2,basic
17,0.898,1,1,0,0,0,1.235,8,0,0,0.471,0,1,1,0,0,0,0,0,0,0,basic
9,0.449,1,1,0,0,0,1.167,4,0,0.5,0.5,0,1,1,0,0,0,0,0,0,0,basic
10.5,0.449,1,1,0,0,0,2.053,4,0,1,0.474,0,1,1,0,0,0,0,1,9,1,basic
10.5,0.449,1,1,0,0,0,2.053,4,0,1,0.474,0,1,1,0,0,0,0,0,0,0,basic
7,0.299,1,1,0,0,0,2.053,2.667,0,0.667,0.474,0,1,1,0,0,0,0,0,0,0,basic
9.333,0.522,1,1.333,0,0,0,1.885,3.667,0,0.667,0.462,0,1,1,0,0,0,0,0,0,0,basic
8.667,0.529,1,1.333,0.333,0,0,2.042,4.333,0,0.667,0.458,0,1,1,0,0,0,0,1,0,0,basic
8.667,0.529,1,1.333,0.333,0,0,3.542,4.333,0,0.667,0.458,0,1,1,0,0,0,0,0,0,0,basic
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,basic
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,basic
0,0,0,1,0.5,0,0,0,2.5,0,0,0,0,1,1,0,0,0,0,1,0,0,basic
0.5,0,1,1.5,0.5,0,0,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,basic
3.5,0.333,1,1.5,0.5,0,0,1.286,4,0,0,0.857,0,1,1,0,0,0,0,1,0,0,basic
2.333,0.222,1,1.333,0.333,0,0,1.286,2.667,0,0,0.857,0,1,1,0,0,0,0,1,0,0,basic
2.333,0.222,1,1.333,0.333,0,0,1.286,2.667,0,0,0.857,0,1,1,0,0,0,0,0,0,0,basic
4,0.389,1,1.667,0.333,0,0,1.25,3.333,0,0,0.833,0,1,1,0,0,0,0,1,0,0,basic
4,0.389,1,1.667,0.333,0,0,1.25,3.333,0,0,0.833,0,1,1,0,0,0,0,0,0,0,basic
4,0.389,1,1.667,0.333,0,0,1.333,3.333,0,0,1.25,0,1,1,0,0,0,0,1,4,1,basic
4,0.389,1,1.667,0.333,0,0,1.333,3.333,0,0,1.25,0,1,1,0,0,0,0,0,0,0,basic
3,0.292,1,1.5,0.25,0,0,1.333,2.5,0,0,1.25,0,1,1,0,0,0,0,0,0,0,basic
3.25,0.292,1,1.5,0.25,0,0,1.231,2.5,0,0.25,1.231,0,1,1,0,0,0,0,0,0,0,basic
2.6,0.233,1,1.4,0.2,0,0,1.231,2,0,0.2,1.231,0,1,1,0,0,0,0,1,0,0,basic
